OrderID,ItemID,ProductID,Quantity,ListPrice,Discount
1,1,20,1,599.99,0.2
1,2,8,2,1799.99,0.07
1,3,10,2,1549,0.05
1,4,16,2,599.99,0.05
1,5,4,1,2899.99,0.2
2,6,20,1,599.99,0.07
2,7,16,2,599.99,0.05
3,8,3,1,999.99,0.05
3,9,20,1,599.99,0.05
4,10,2,2,749.99,0.1
5,11,10,2,1549,0.05
5,12,17,1,429,0.07
5,13,26,1,599.99,0.07
6,14,18,1,449,0.07
6,15,12,2,549.99,0.05
6,16,20,1,599.99,0.1
6,17,3,2,999.99,0.07
6,18,9,2,2999.99,0.07
7,19,15,1,529.99,0.07
7,20,3,1,999.99,0.1
7,21,17,2,429,0.1
8,22,22,1,269.99,0.05
8,23,20,2,599.99,0.07
9,24,7,2,3999.99,0.1
10,25,14,1,269.99,0.1
11,26,8,1,1799.99,0.05
11,27,22,2,269.99,0.1
11,28,16,2,599.99,0.2
12,29,4,2,2899.99,0.1
12,30,11,1,1680.99,0.05
13,31,13,1,269.99,0.1
13,32,17,2,429,0.05
13,33,20,2,599.99,0.1
13,34,16,2,599.99,0.05
14,35,6,1,469.99,0.07
15,36,12,2,549.99,0.07
15,37,8,1,1799.99,0.07
15,38,18,2,449,0.05
15,39,23,2,299.99,0.2
16,40,8,1,1799.99,0.2
16,41,21,1,269.99,0.05
16,42,13,2,269.99,0.07
16,43,14,1,269.99,0.07
17,44,8,1,1799.99,0.07
17,45,23,1,299.99,0.1
17,46,5,1,1320.99,0.1
17,47,20,2,599.99,0.2
18,48,2,2,749.99,0.2
18,49,22,1,269.99,0.05
18,50,7,1,3999.99,0.1
18,51,25,2,499.99,0.05
18,52,9,2,2999.99,0.1
19,53,10,1,1549,0.07
19,54,9,2,2999.99,0.2
20,55,9,1,2999.99,0.07
20,56,10,2,1549,0.07
21,57,14,1,269.99,0.05
21,58,17,1,429,0.1
21,59,10,1,1549,0.07
22,60,15,2,529.99,0.2
22,61,22,1,269.99,0.05
23,62,4,2,2899.99,0.05
23,63,23,2,299.99,0.1
23,64,13,1,269.99,0.2
24,65,3,2,999.99,0.1
24,66,18,2,449,0.07
25,67,23,2,299.99,0.2
25,68,10,2,1549,0.2
25,69,22,1,269.99,0.2
25,70,14,1,269.99,0.2
25,71,21,1,269.99,0.1
26,72,7,1,3999.99,0.05
26,73,2,1,749.99,0.2
26,74,12,1,549.99,0.2
26,75,21,2,269.99,0.07
27,76,5,1,1320.99,0.2
27,77,19,1,449,0.2
27,78,26,2,599.99,0.07
27,79,8,1,1799.99,0.07
28,80,5,1,1320.99,0.05
28,81,7,2,3999.99,0.2
28,82,14,2,269.99,0.1
28,83,6,1,469.99,0.05
29,84,24,2,549.99,0.05
29,85,6,1,469.99,0.2
29,86,21,2,269.99,0.1
29,87,8,1,1799.99,0.2
29,88,14,2,269.99,0.05
30,89,26,1,599.99,0.05
30,90,17,1,429,0.07
30,91,19,1,449,0.1
30,92,4,1,2899.99,0.1
30,93,7,2,3999.99,0.1
31,94,11,2,1680.99,0.05
31,95,9,2,2999.99,0.2
32,96,8,2,1799.99,0.07
32,97,12,2,549.99,0.07
32,98,25,2,499.99,0.1
33,99,23,2,299.99,0.07
33,100,7,1,3999.99,0.1
34,101,8,2,1799.99,0.07
34,102,10,2,1549,0.1
34,103,17,2,429,0.2
35,104,18,1,449,0.05
35,105,20,2,599.99,0.05
35,106,5,1,1320.99,0.2
35,107,21,2,269.99,0.07
35,108,22,1,269.99,0.07
36,109,9,1,2999.99,0.07
36,110,5,1,1320.99,0.05
36,111,3,2,999.99,0.2
37,112,16,2,599.99,0.05
38,113,7,2,3999.99,0.05
38,114,23,1,299.99,0.07
38,115,25,1,499.99,0.2
38,116,10,2,1549,0.1
38,117,24,1,549.99,0.07
39,118,22,2,269.99,0.2
39,119,16,2,599.99,0.2
39,120,3,2,999.99,0.05
39,121,15,1,529.99,0.1
40,122,17,1,429,0.2
40,123,8,2,1799.99,0.2
41,124,5,1,1320.99,0.1
41,125,19,2,449,0.2
41,126,26,2,599.99,0.2
42,127,19,1,449,0.05
43,128,13,2,269.99,0.1
43,129,12,2,549.99,0.05
44,130,7,1,3999.99,0.1
44,131,16,1,599.99,0.05
45,132,4,2,2899.99,0.2
45,133,22,1,269.99,0.07
45,134,21,2,269.99,0.05
46,135,17,1,429,0.1
47,136,6,1,469.99,0.05
47,137,15,1,529.99,0.1
